,high,low,open,close,volume,start,binance_high,binance_low,binance_open,binance_close,binance_volume,circulation,poolval,avg_volume,cum_volume,btc_volume,price_diff,price_diff_pos,price_diff_neg,volume_diff,volume_diff_pos,volume_diff_neg,row_count,pool_diff,circulation_diff,dcr_savings,dcr_savings_pos,dcr_savings_neg
0,0.0,0.0,0.0,0.0,0,2020-10-05 15:58:10+00:00,,,,,,,,,0,0.0,,0.0,0.0,,0.0,0.0,1,,,,0.0,0.0
1,0.0,0.0,0.0,0.0,0,2020-10-06 00:00:00+00:00,0.001084,0.001051,0.001061,0.001056,13174.265,12094055.60378948,6121514.77218609,,0,0.0,-100.0,0.0,-100.0,-100.0,0.0,-100.0,1,,,,0.0,0.0
2,0.0,0.0,0.0,0.0,0,2020-10-07 00:00:00+00:00,0.001067,0.001049,0.001059,0.001063,6964.733,12097818.03353612,6118707.38231823,,0,0.0,-100.0,0.0,-100.0,-100.0,0.0,-100.0,1,-2807.3898678598925,3762.4297466389835,-935.7966226199642,0.0,-935.7966226199642
3,0.001093,0.0,0.0,0.001053,1200,2020-10-08 00:00:00+00:00,0.001169,0.00105,0.001063,0.001064,30848.184,12101893.57338328,6112171.0782812,,1200,1.2635999999999998,-1.0338345864661758,0.0,-1.0338345864661758,-96.10998170913399,0.0,-96.10998170913399,1,-9343.693904890679,7837.969593798742,-2635.9234762226697,0.0,-2635.9234762226697
4,0.0,0.0,0.001053,0.001053,0,2020-10-09 00:00:00+00:00,0.001124,0.00106,0.001064,0.001118,13088.367,12105929.70883962,6087433.7477523,,1200,0.0,-5.813953488372103,0.0,-5.813953488372103,-100.0,0.0,-100.0,1,-34081.024433789775,11874.10505013913,-7056.204886757955,0.0,-7056.204886757955
5,0.0,0.0,0.001053,0.001053,0,2020-10-10 00:00:00+00:00,0.001287,0.001078,0.001118,0.001096,37267.772,12110030.58008089,6089004.6568225,,1200,0.0,-3.9233576642335843,0.0,-3.9233576642335843,-100.0,0.0,-100.0,1,-32510.11536359042,15974.976291408762,-5618.352560598403,0.0,-5618.352560598403
6,0.0,0.0,0.001053,0.001053,0,2020-10-11 00:00:00+00:00,0.001113,0.001071,0.001095,0.001081,13562.313,12114249.66449454,6087556.91995729,,1200,0.0,-2.590194264569845,0.0,-2.590194264569845,-100.0,0.0,-100.0,1,-33957.852228799835,20194.06070506014,-5022.550318399976,0.0,-5022.550318399976
7,0.0,0.0,0.001053,0.001053,0,2020-10-12 00:00:00+00:00,0.001088,0.001044,0.001082,0.00106,12273.907,12117629.99830425,6073136.61279073,,1200,0.0,-0.6603773584905714,0.0,-0.6603773584905714,-100.0,0.0,-100.0,1,-48378.15939536039,23574.394514769316,-6197.2699244200485,0.0,-6197.2699244200485
8,0.001093,0.0,0.001053,0.0010735,1080,2020-10-13 00:00:00+00:00,0.00107,0.001044,0.001057,0.001053,6352.255,12121781.53233366,6083771.90051962,,2280,1.15938,1.9468186134852905,1.9468186134852905,0.0,-82.99816364424916,0.0,-82.99816364424916,1,-37742.87166647054,27725.928544180468,-4446.985740718949,0.0,-4446.985740718949
9,0.0,0.0,0.0010735,0.0010735,0,2020-10-14 00:00:00+00:00,0.00107,0.001016,0.001053,0.001022,9712.278,12125938.69556174,6086492.78335524,,2280,0.0,5.0391389432485445,5.0391389432485445,0.0,-100.0,0.0,-100.0,1,-35021.98883085046,31883.091772260144,-3730.198883085046,0.0,-3730.198883085046
