,date,totalLiquidityUSD,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
94,2020-05-12,12547641.489035157,,,,,,,,,,,
95,2020-05-13,12464794.522153191,,,,,,,,,,,
96,2020-05-14,12705891.827795966,,,,,,,,,,,
97,2020-05-15,12883955.63843849,,,,,,,,,,,
98,2020-05-16,13042804.77140009,,,,,,,,,,,
99,2020-05-17,13012842.707988339,,,,,,,,,,,
100,2020-05-18,13014488.242052477,,,,,,,,,,,
101,2020-05-19,13222435.199644875,,,,,,,,,,,
102,2020-05-20,13120476.484658943,,,,,,,,,,,
103,2020-05-21,13082702.209052809,,,,,,,,,,,
104,2020-05-22,13104787.84222392,,,,,,,,,,,
105,2020-05-23,12865833.265877258,,,,,,,,,,,
106,2020-05-24,12740156.405462882,,,,,,,,,,,
107,2020-05-25,12620123.647471406,,,,,,,,,,,
108,2020-05-26,12565436.519364264,,,,,,,,,,,
109,2020-05-27,12716131.647186315,,,,,,,,,,,
110,2020-05-28,12632626.345143227,,,,,,,,,,,
111,2020-05-29,12654874.838816216,,,,,,,,,,,
112,2020-05-30,12746203.242767928,,,,,,,,,,,
113,2020-05-31,12752296.828495743,,,,,,,,,,,
114,2020-06-01,12753769.167358274,,,,,,,,,,,
115,2020-06-02,12618360.833485411,,,,,,,,,,,
116,2020-06-03,12560795.267812632,,,,,,,,,,,
117,2020-06-04,12586051.852804562,,,,,,,,,,,
118,2020-06-05,12538586.173861412,,,,,,,,,,,
119,2020-06-06,12834080.055561062,,,,,,,,,,,
120,2020-06-07,12823391.36916482,,,,,,,,,,,
121,2020-06-08,13152717.902742255,,,,,,,,,,,
122,2020-06-09,13227575.821115417,,,,,,,,,,,
123,2020-06-10,14034885.358375262,,,,,,,,,,,
124,2020-06-11,14480803.3791035,,,,,,,,,,,
125,2020-06-12,14789121.74628861,,,,,,,,,,,
126,2020-06-13,14889023.863094468,,,,,,,,,,,
127,2020-06-14,14859182.035061872,,,,,,,,,,,
128,2020-06-15,14395842.353364777,,,,,,,,,,,
129,2020-06-16,13616977.36000891,,,,,,,,,,,
130,2020-06-17,13511686.308657983,,,,,,,,,,,
131,2020-06-18,14574716.921464518,,,,,,,,,,,
132,2020-06-19,14916298.62873798,,,,,,,,,,,
133,2020-06-20,18944048.710694402,,,,,,,,,,,
134,2020-06-21,19483650.509605683,,,,,,,,,,,
135,2020-06-22,22751787.13809447,,,,,,,,,,,
136,2020-06-23,27237825.47391969,,,,,,,,,,,
137,2020-06-24,33320068.79045475,,,,,,,,,,,
138,2020-06-25,37553774.139983036,,,,,,,,,,,
139,2020-06-26,40248291.50487539,,,,,,,,,,,
140,2020-06-27,42392041.23423138,,,,,,,,,,,
141,2020-06-28,43702180.71222042,,,,,,,,,,,
142,2020-06-29,43658725.70170089,,,,,,,,,,,
143,2020-06-30,43950831.56824957,,,,,,,,,,,
144,2020-07-01,45482738.837239236,,,,,,,,,,,
145,2020-07-02,46543532.14537071,,,,,,,,,,,
146,2020-07-03,50297200.042995706,,,,,,,,,,,
147,2020-07-04,51614474.240208656,,,,,,,,,,,
148,2020-07-05,52469567.02672781,,,,,,,,,,,
149,2020-07-06,54348133.738854595,,,,,,,,,,,
150,2020-07-07,55193392.407558516,,,,,,,,,,,
151,2020-07-08,62439789.41333659,,,,,,,,,,,
152,2020-07-09,65203776.33292085,,,,,,,,,,,
153,2020-07-10,65162204.24815494,,,,,,,,,,,
154,2020-07-11,65595359.32903546,,,,,,,,,,,
155,2020-07-12,69460484.41128197,,,,,,,,,,,
156,2020-07-13,69504081.23336622,,,,,,,,,,,
157,2020-07-14,69857620.92285432,,,,,,,,,,,
158,2020-07-15,71506228.7207044,,,,,,,,,,,
159,2020-07-16,70075606.93465266,,,,,,,,,,,
160,2020-07-17,71228296.33972265,,,,,,,,,,,
161,2020-07-18,57486920.71788222,,,,,,,,,,,
162,2020-07-19,48207854.918553814,,,,,,,,,,,
163,2020-07-20,45238616.2957443,,,,,,,,,,,
164,2020-07-21,45671606.01193923,,,,,,,,,,,
165,2020-07-22,45440707.58807737,,,,,,,,,,,
166,2020-07-23,44539712.826392286,,,,,,,,,,,
167,2020-07-24,51704507.04117777,,,,,,,,,,,
168,2020-07-25,74357812.22363043,,,,,,,,,,,
169,2020-07-26,83596896.76695469,,,,,,,,,,,
170,2020-07-27,85415119.2084337,,,,,,,,,,,
171,2020-07-28,87519852.83682166,,,,,,,,,,,
172,2020-07-29,92519084.51529458,,,,,,,,,,,
173,2020-07-30,94028653.06929846,,,,,,,,,,,
174,2020-07-31,91787895.86638802,,,,,,,,,,,
175,2020-08-01,90917099.09988977,,,,,,,,,,,
176,2020-08-02,89892454.41589105,,,,,,,,,,,
177,2020-08-03,93327985.63315615,,,,,,,,,,,
178,2020-08-04,94750850.73268847,,,,,,,,,,,
179,2020-08-05,92447388.97526748,,,,,,,,,,,
180,2020-08-06,96730157.41020924,,,,,,,,,,,
181,2020-08-07,98652030.40777817,,,,,,,,,,,
182,2020-08-08,89426636.93913025,,,,,,,,,,,
183,2020-08-09,90905348.93372706,,,,,,,,,,,
184,2020-08-10,91634760.71273991,,,,,,,,,,,
185,2020-08-11,92224911.61514452,,,,,,,,,,,
186,2020-08-12,99405474.39989679,,,,,,,,,,,
187,2020-08-13,136957298.06773877,,,,,,,,,,,
188,2020-08-14,314827739.3468176,,,,,,,,,,,
189,2020-08-15,374902617.5008673,5.0,23.25500000,5.00000000,6.91000000,5014732.42100000,1597535999999.0,49672580.03024300,134869.0,2306193.07800000,23094386.60932800,0
190,2020-08-16,437042650.3006985,6.91,7.69600000,5.73400000,5.78200000,3224235.06000000,1597622399999.0,21147477.11035600,66129.0,1429231.33900000,9391428.67148300,0
191,2020-08-17,442440672.9103219,5.781,5.94000000,4.18200000,4.38000000,4726877.36100000,1597708799999.0,22763287.95919600,98659.0,2038633.88000000,9793389.64496200,0
192,2020-08-18,451088087.7173076,4.375,4.48600000,3.17300000,3.60000000,5891300.54400000,1597795199999.0,22022776.65284900,96846.0,2566221.61700000,9623192.35185100,0
193,2020-08-19,412657292.6069203,3.6,5.03000000,3.30500000,3.91900000,7644862.30500000,1597881599999.0,32769273.25394700,106503.0,3681337.57600000,15833985.22950600,0
194,2020-08-20,399953639.80547327,3.919,4.67500000,3.80900000,3.89000000,4503665.09000000,1597967999999.0,18766930.20284700,66930.0,1959614.48700000,8174392.27348600,0
195,2020-08-21,393162206.1755166,3.884,4.06900000,3.20000000,3.23000000,4839799.21300000,1598054399999.0,17796370.24519800,63854.0,2019801.24300000,7468008.21228900,0
196,2020-08-22,380294803.2317905,3.23,3.27000000,2.71500000,3.05700000,3407375.50600000,1598140799999.0,10028061.16676000,64899.0,1599348.78500000,4709231.47541100,0
197,2020-08-23,358041889.68657076,3.057,3.09000000,2.58000000,2.69500000,3452913.36500000,1598227199999.0,9704380.50403800,41083.0,1612472.42300000,4547826.14544300,0
198,2020-08-24,369675639.91720796,2.685,3.10000000,2.59500000,2.89700000,4249210.83900000,1598313599999.0,12287908.16389500,44203.0,2158068.77900000,6259251.39225500,0
199,2020-08-25,369637593.8530803,2.884,3.41100000,2.68000000,2.85700000,5472771.86700000,1598399999999.0,16487212.68943500,68627.0,2541484.82000000,7670176.01945300,0
200,2020-08-26,407881061.462478,2.858,4.15000000,2.81500000,3.55600000,9770163.83300000,1598486399999.0,34143267.08995500,119953.0,4907269.85300000,17163246.21360700,0
201,2020-08-27,447001082.3044712,3.558,4.31600000,3.20000000,3.34400000,10622222.28100000,1598572799999.0,40255386.36610300,141927.0,4773765.59500000,18227388.36558300,0
202,2020-08-28,441350455.0519134,3.344,4.00000000,3.34000000,3.52700000,5469740.80900000,1598659199999.0,19852186.00810300,74513.0,2586231.79200000,9418268.45679500,0
203,2020-08-29,459425869.69004804,3.532,3.54900000,3.08300000,3.10900000,4563202.89300000,1598745599999.0,15212071.72471700,50897.0,2034503.80500000,6782917.30751500,0
204,2020-08-30,428068393.96818995,3.107,3.75000000,3.08000000,3.55400000,7510633.03200000,1598831999999.0,26177788.43756500,81642.0,3835115.52600000,13376970.29024000,0
205,2020-08-31,389676724.2354259,3.557,4.44300000,3.42300000,4.33700000,7516192.04300000,1598918399999.0,28521386.77058900,88235.0,3796243.26900000,14463082.95647800,0
206,2020-09-01,402120979.3643236,4.333,5.70100000,4.14100000,5.33500000,21189407.35900000,1599004799999.0,104549818.82134300,270996.0,10940042.28500000,53983698.62175400,0
207,2020-09-02,446039229.65397376,5.356,5.36900000,3.80000000,4.32600000,13213895.28100000,1599091199999.0,58976292.84577400,151820.0,6058446.66800000,27075106.37613200,0
208,2020-09-03,462959499.7220515,4.326,4.35900000,2.73300000,2.91300000,13872548.79200000,1599177599999.0,49861332.25603000,133389.0,6513664.30700000,23491566.71585900,0
209,2020-09-04,480164738.4989867,2.913,3.29400000,2.66600000,2.85000000,9011295.30500000,1599263999999.0,26951260.49327800,88839.0,4088482.69100000,12224879.88197600,0
210,2020-09-05,444238212.6472665,2.851,3.07300000,1.54900000,1.90100000,10874401.79000000,1599350399999.0,25017165.70344200,89893.0,4792192.80500000,11035663.07709900,0
211,2020-09-06,423036107.76789945,1.897,2.33500000,1.50000000,2.16000000,12841820.03400000,1599436799999.0,25833928.62258900,77576.0,6231052.39000000,12551491.54366500,0
212,2020-09-07,416961196.9505998,2.161,2.29800000,1.70000000,2.09700000,8069814.76700000,1599523199999.0,16028579.70306400,51750.0,3771356.79400000,7491229.23572200,0
213,2020-09-08,427450546.7181104,2.1,2.15000000,1.75700000,1.83900000,6501641.78300000,1599609599999.0,12413969.34012600,39013.0,3033687.37300000,5799220.82581100,0
214,2020-09-09,459242311.10335696,1.838,2.14300000,1.77200000,1.97300000,8816283.96900000,1599695999999.0,17285303.85166600,56579.0,4180411.59800000,8187593.25669900,0
215,2020-09-10,421584256.1303003,1.97,2.19700000,1.92500000,1.96000000,9833403.85000000,1599782399999.0,20252980.97173200,54710.0,4596683.77800000,9477753.86353900,0
216,2020-09-11,427720302.7694149,1.961,2.00900000,1.70300000,1.90100000,8378489.69100000,1599868799999.0,15549833.81350000,49646.0,4146978.16900000,7690951.34863700,0
217,2020-09-12,447657491.25330794,1.9,2.14700000,1.81000000,2.10300000,11820422.80800000,1599955199999.0,23621195.84274500,61365.0,5799434.20100000,11609138.84309700,0
218,2020-09-13,468438745.3885241,2.101,2.14000000,1.76000000,1.90800000,9602679.52300000,1600041599999.0,18617375.53486200,54632.0,4525733.03000000,8779718.50597700,0
219,2020-09-14,484608675.6199714,1.908,1.98200000,1.78700000,1.84300000,7171169.58500000,1600127999999.0,13436831.00679300,40972.0,3373623.87800000,6327947.70345400,0
220,2020-09-15,497739338.58928764,1.846,1.88900000,1.33700000,1.41500000,10844631.25800000,1600214399999.0,17836857.44257200,56442.0,5029370.88000000,8266515.09269400,0
221,2020-09-16,515329907.614125,1.417,1.46300000,1.19800000,1.28100000,12854255.48100000,1600300799999.0,16957829.62173200,51750.0,6081458.62700000,8025796.37317400,0
222,2020-09-17,550228167.0772252,1.281,1.43300000,1.19600000,1.33300000,10784967.31300000,1600387199999.0,14064997.78185900,43719.0,5245960.70400000,6844070.68266600,0
223,2020-09-18,590981975.5446963,1.332,1.43300000,1.22200000,1.25800000,10518595.21900000,1600473599999.0,13969394.25885600,37745.0,4905257.91700000,6529562.70392700,0
224,2020-09-19,764709883.6767416,1.258,1.64900000,1.23300000,1.48300000,16055050.81500000,1600559999999.0,23392082.75688800,64739.0,7930247.95300000,11565887.09949000,0
225,2020-09-20,819818328.4941715,1.482,1.63800000,1.29900000,1.36100000,15526291.72700000,1600646399999.0,22677817.34283300,62317.0,7353286.46200000,10734911.64925500,0
226,2020-09-21,780346797.8400908,1.361,1.40300000,1.07000000,1.08800000,14672700.47200000,1600732799999.0,17682246.42249600,56512.0,6828488.51500000,8242960.42681800,0
227,2020-09-22,847108399.6583939,1.09,1.15200000,1.00000000,1.07700000,11367668.86400000,1600819199999.0,12294324.16833400,36450.0,5396251.28500000,5838697.10128500,0
228,2020-09-23,921203427.840626,1.079,1.13300000,0.86400000,0.88800000,12161063.81700000,1600905599999.0,12266062.27658500,38706.0,5587845.05900000,5647603.09003900,0
229,2020-09-24,965317318.5862707,0.887,1.00400000,0.87500000,0.99300000,9493710.13000000,1600991999999.0,8963997.59695200,23167.0,4797349.53400000,4535301.63199200,0
230,2020-09-25,977559937.7736706,0.992,1.04400000,0.87900000,0.97500000,13394313.56400000,1601078399999.0,12809743.09442500,36261.0,6514874.84200000,6228630.79573500,0
231,2020-09-26,1066251763.3900628,0.974,1.14300000,0.97000000,1.11400000,13117289.97800000,1601164799999.0,13776437.40027900,41330.0,6401667.06800000,6727325.32214900,0
232,2020-09-27,1001604867.843507,1.114,1.13500000,0.97800000,1.04000000,9173508.36900000,1601251199999.0,9594257.87613100,29419.0,4123076.21100000,4312224.01160400,0
233,2020-09-28,946340248.8588276,1.04,1.10000000,0.97100000,1.00200000,9448248.88400000,1601337599999.0,9846884.12465300,30607.0,4210050.58800000,4396555.67281000,0
234,2020-09-29,944399599.425745,1.001,1.02100000,0.90600000,0.95100000,7314006.59700000,1601423999999.0,7147774.35323100,22778.0,3562840.33800000,3482050.34035500,0
235,2020-09-30,928927192.492724,0.953,0.97000000,0.90900000,0.94900000,6921674.67400000,1601510399999.0,6480613.90719100,17541.0,3650856.99400000,3422128.86685400,0
236,2020-10-01,947356278.3039128,0.95,0.98500000,0.82300000,0.86400000,9131513.03300000,1601596799999.0,8270377.20427200,23633.0,4102371.98000000,3715461.83651000,0
237,2020-10-02,921221193.9069724,0.863,0.87700000,0.72600000,0.76500000,10249771.97800000,1601683199999.0,8058835.57489600,27308.0,4851272.34700000,3808982.57811200,0
238,2020-10-03,948326683.2784263,0.765,0.81100000,0.74200000,0.76800000,7115744.27000000,1601769599999.0,5549528.79128300,17408.0,3331861.92900000,2599741.92233300,0
239,2020-10-04,942499340.3305434,0.766,0.76900000,0.67400000,0.69700000,8981437.99000000,1601855999999.0,6362543.60365500,21757.0,4254515.82300000,3012636.61161100,0
240,2020-10-05,928335205.9697167,0.697,0.72100000,0.61400000,0.63200000,10043965.18900000,1601942399999.0,6545484.54183200,21688.0,4841517.37700000,3155658.73113000,0
241,2020-10-06,954423092.0138514,0.633,0.63400000,0.49400000,0.50700000,18189571.86200000,1602028799999.0,10024921.34567200,31535.0,8636434.35900000,4753936.52275500,0
