,time_stamp,dcroutflow,dcrinflow,value,PriceUSD,Mcap,Price30,Price90,treasiss,treasrem,dcroutflowmax,dcrtotoutflow,adjdcroutflow,usdoutflow,adjusdoutflow,usdoutflowcont,usdoutflowmax,cumoutusd,40drawdown,contractearnings,monthflow,treasury,valueusd,treasuryusd,projrem,valperdcr,contractpl,qtrcontractpl,qtrcontractplusd,ltcontractplusd,wtoutflow,wtlow,adjwtlow,bullprice,bullishprice,moderateprice,bearishprice,bearprice,doomprice,bulltreasury,runway,PE,equity,pe2,pe5,pe10,pe20,pe40,pe60
0,2016-02-08,0.0,1029.462277799998,1029.462277799998,,,,,1029.462277799998,1930970.5377222,,-0.0,-0.0,,,,,,,,,1029.462277799998,,,1932000.0,,,,,,0.0,,,,,,,,,,,,,,,,,,
1,2016-02-09,0.0,1119.930174940001,1119.930174940001,,,,,2149.392452739999,1929850.60754726,,-0.0,-0.0,,,,,,,,,2149.392452739999,,,1932000.0,,,,,,0.0,,,,,,,,,,,,,,,,,,
2,2016-02-10,0.0,502.25280825999914,502.25280825999914,,,,,2651.6452609999983,1929348.354739,,-0.0,-0.0,,,,,,,,,2651.6452609999983,,,1932000.0,,,,,,0.0,,,,,,,,,,,,,,,,,,
3,2016-02-11,0.0,910.9181367199981,910.9181367199981,,,,,3562.5633977199964,1928437.43660228,,-0.0,-0.0,,,,,,,,,3562.5633977199964,,,1932000.0,,,,,,0.0,,,,,,,,,,,,,,,,,,
4,2016-02-12,0.0,1157.3651668600023,1157.3651668600023,,,,,4719.928564579999,1927280.07143542,,-0.0,-0.0,,,,,,,,,4719.928564579999,,,1932000.0,,,,,,0.0,,,,,,,,,,,,,,,,,,
5,2016-02-13,0.0,892.2006407599981,892.2006407599981,,,,,5612.1292053399975,1926387.87079466,,-0.0,-0.0,,,,,,,,,5612.1292053399975,,,1932000.0,,,,,,0.0,,,,,,,,,,,,,,,,,,
6,2016-02-14,0.0,742.4606730799985,742.4606730799985,,,,,6354.589878419996,1925645.4101215801,,-0.0,-0.0,,,,,,,,,6354.589878419996,,,1932000.0,,,,,,0.0,,,,,,,,,,,,,,,,,,
7,2016-02-15,0.0,779.8956649999984,779.8956649999984,,,,,7134.485543419994,1924865.51445658,,-0.0,-0.0,,,,,,,,,7134.485543419994,,,1932000.0,,,,,,0.0,,,,,,,,,,,,,,,,,,
8,2016-02-16,0.0,1232.2351507000049,1232.2351507000049,,,,,8366.720694119998,1923633.27930588,,-0.0,-0.0,,,,,,,,,8366.720694119998,,,1932000.0,,,,,,0.0,,,,,,,,,,,,,,,,,,
9,2016-02-17,0.0,879.7223101199982,879.7223101199982,,,,,9246.443004239996,1922753.55699576,,-0.0,-0.0,,,,,,,,,9246.443004239996,,,1932000.0,,,,,,0.0,,,,,,,,,,,,,,,,,,
10,2016-02-18,0.0,842.2873181999983,842.2873181999983,,,,,10088.730322439995,1921911.26967756,,-0.0,-0.0,,,,,,,,,10088.730322439995,,,1932000.0,,,,,,0.0,,,,,,,,,,,,,,,,,,
11,2016-02-19,0.0,848.5264835199982,848.5264835199982,,,,,10937.256805959993,1921062.74319404,,-0.0,-0.0,,,,,,,,,10937.256805959993,,,1932000.0,,,,,,0.0,,,,,,,,,,,,,,,,,,
12,2016-02-20,0.0,929.635632679998,929.635632679998,,,,,11866.89243863999,1920133.10756136,,-0.0,-0.0,,,,,,,,,11866.89243863999,,,1932000.0,,,,,,0.0,,,,,,,,,,,,,,,,,,
13,2016-02-21,0.0,965.822791489998,965.822791489998,,,,,12832.715230129988,1919167.28476987,,-0.0,-0.0,,,,,,,,,12832.715230129988,,,1932000.0,,,,,,0.0,,,,,,,,,,,,,,,,,,
