,_id,active,addr,createdAt,lastAt,lastPaidAt,network,rank,status,txHash,txOutIdx,ver
18,60663f93dfa630d5099fe04c,581208,WSGRHjSUMvf366u8QjqJz2jCpU9rrhHsxR,2021-04-01T21:48:00.000Z,2021-04-01T21:45:46.000Z,2021-04-01T21:34:33.000Z,ipv4,2096,ENABLED,7991d71397c4b2b831eba391ff0fccface6b2c8c440fc2c143f691f0c05560c0,1,70928
19,60663f93dfa630d5099fdd56,8649834,WhKC5tabtkRwCgs8ZcGmbmdm9B5FwLSU57,2021-04-01T21:48:00.000Z,2021-04-01T21:46:09.000Z,2021-04-01T21:33:11.000Z,ipv4,1338,ENABLED,c811ae549330f3237317b93dd182b90d8162fe68daf46f53177cfba4f8ccf674,1,70928
20,60663f93dfa630d5099fdeb7,7959208,WUbUyTwrPQJyP5mJMJywttG5ooMX4mXCQf,2021-04-01T21:48:00.000Z,2021-04-01T21:47:03.000Z,2021-04-01T21:31:16.000Z,ipv4,1691,ENABLED,875259f19f3335d26c7eab33243faffa2499b51059e38f0cacba0bb6b03d9ce4,2,70928
21,60663f93dfa630d5099fdb3b,8318453,WYxybraQEPnGuA1mhCdWc7SCRM4c6mJWMo,2021-04-01T21:48:00.000Z,2021-04-01T21:42:33.000Z,2021-04-01T21:30:59.000Z,ipv6,799,ENABLED,cf1bed8d3c999ef9710717b9fd00ec62534e235d938475974776a88b4533a4eb,1,70928
22,60663f93dfa630d5099fdbe4,7263159,WcrZHsYpFieJHfiLUbeyXQgJhpgHBZwLcs,2021-04-01T21:48:00.000Z,2021-04-01T21:40:21.000Z,2021-04-01T21:27:48.000Z,ipv6,968,ENABLED,98657ea6d94ac46f89c85630f7a7eeb0bf365a1e1ff581f4d6e8466cdc42945e,0,70928
23,60663f93dfa630d5099fdc11,5008147,WZfDRGBdC5ETXB72pScikhYGDxpMua3429,2021-04-01T21:48:00.000Z,2021-04-01T21:47:19.000Z,2021-04-01T21:25:11.000Z,ipv4,1013,ENABLED,0c057d69ea7aad7105f4b92db48dc5cd32cb3d4c16b7a4bcb15d5495ac7a8f10,4,70928
24,60663f93dfa630d5099fdc7a,4362125,WWsHea1ybmeoup1kY65jgWMWqr8e2FiAnX,2021-04-01T21:48:00.000Z,2021-04-01T21:43:10.000Z,2021-04-01T21:23:38.000Z,ipv4,1118,ENABLED,081ea94490dfb6321d8605723bec609cf2101712fe2bd788fdce867c5927b010,0,70928
25,60663f93dfa630d5099fdd71,6103399,WP4SRaJ7QesjFvjnJJ7m3f5xTQsGhgbaEY,2021-04-01T21:48:00.000Z,2021-04-01T21:39:39.000Z,2021-04-01T21:23:22.000Z,ipv4,1365,ENABLED,d6737378312c6dbf4428e39f9b89af0c9fd2a88413831ffa413724285db287a2,1,70928
26,60663f93dfa630d5099fe087,8594365,WapfrLaLNJcn1MqRBevoTPbX1PnLDi6AJE,2021-04-01T21:48:00.000Z,2021-04-01T21:44:21.000Z,2021-04-01T21:23:01.000Z,ipv6,2155,ENABLED,cd80111d6e1cccb1b8cb16c9489acc5bfa85d738cd6205d17141b8ed4ecce211,0,70928
27,60663f93dfa630d5099fd9ee,4347344,WgF8D9gJ6DZh85CgH7yMFWiUyhjvoWGu12,2021-04-01T21:48:00.000Z,2021-04-01T21:46:29.000Z,2021-04-01T21:22:51.000Z,ipv6,466,ENABLED,99965da1b28c50cfe01ad386a64a93669a6431a3e485293a2519cf10ef7ba121,1,70928
28,60663f93dfa630d5099fdef7,7959533,Wdim6m69JdBCbfUjrZ3ZHj5RbxFPzQq1uD,2021-04-01T21:48:00.000Z,2021-04-01T21:43:12.000Z,2021-04-01T21:22:25.000Z,ipv4,1755,ENABLED,be513ac948de6f667ebcb3ee58036fce88c9dc35da762b718566ed35e22a4d36,10,70928
29,60663f93dfa630d5099fe1b0,8480348,WardS7PE2BrVNvZ9tFU1waiBmUPnQvQoE6,2021-04-01T21:48:00.000Z,2021-04-01T21:40:27.000Z,2021-04-01T21:20:46.000Z,ipv6,2452,ENABLED,753ba12fbddb4bf43e09e722672a9698b7e851bef2eb30b24d7e0689463d28c3,1,70928
